timestamp,MQ-135,MQ-7
0,146,528
10,146,522
20,145,522
30,147,521
40,147,521
50,147,522
60,147,521
70,150,521
80,145,522
90,148,521
100,149,521
110,148,521
120,147,519
130,147,521
140,148,522
150,147,521
160,147,521
170,147,521
180,147,520
190,146,519
200,148,520
210,148,520
220,147,521
230,147,523
240,148,520
250,148,521
260,146,522
270,148,521
280,148,522
290,148,520
300,147,520
310,147,520
320,147,521
330,145,520
340,147,521
350,147,520
360,147,521
370,147,522
380,146,522
390,147,520
400,147,521
410,147,521
420,145,519
430,147,522
440,145,521
450,145,522
460,146,522
470,148,522
480,147,521
490,147,520
500,150,521
510,147,522
520,147,521
530,147,522
540,148,522
550,147,521
560,147,522
570,148,519
580,146,522
590,148,522
600,148,521
610,148,522
620,148,522
630,148,523
640,148,522
650,148,522
660,151,523
670,148,522
680,147,521
690,148,522
700,147,520
710,147,522
720,147,520
730,148,521
740,147,520
750,151,520
760,146,521
770,149,521
780,147,521
790,146,519
800,146,519
810,145,519
820,145,520
830,143,520
840,143,521
850,145,520
860,146,522
870,147,522
880,145,521
890,146,521
900,146,520
910,146,520
920,144,521
930,143,520
940,145,520
950,146,521
960,146,520
970,147,521
980,147,522
990,147,520
